DOIs (Digital Object Identifiers),Title,Abstract,Person,Journal title,Sustainable Development Goals
https://doi.org/10.1177/0971355715586894,Effective growth paths for SMEs,"How firms grow forms a key question in the research on small and medium-sized enterprises (SMEs). Based on a survey amongst 1,535 SMEs, we show that the presence of growth capability factors, such as, innovation capacity, financing capacity and human capital, offers inadequate explanation for differences in the level of growth between SMEs in a specific period of time. The utilisation of different growth paths however does seem to elucidate differences between low and high growth. Remarkably, we found that growth paths that are most commonly used by SMEs (market penetration and increasing efficiency) hardly lead to growth. Rather growth paths that are infrequently utilised like setting up a new additional venture and entering foreign markets lead to significantly higher growth levels. It seems however that these growth paths are not attainable for SMEs due to the more extensive investments required. Increasing the firms’ brand awareness was found to be the only path to growth that was both used frequently and that yields actual growth. Therefore, investing in this path to growth seems to be a sensible investment choice for SMEs that want to grow.","Wakkee, I.A.M.",Journal of Entrepreneurship,"SDG 9 - Industry, Innovation, and Infrastructure (+1 more)"
https://doi.org/10.1016/j.comcom.2010.06.026,Effective load for flow-level performance modeling of wireless LANs,"Today, a wide range of 802.11-based Wireless LANs (WLANs) have become dominant to provide wireless Internet access for file transfers. For engineering purposes, there is a need for very simple, explicit, yet accurate, models that predict the performance of WLANs under anticipated load conditions. In this context, several detailed packet-level models have been proposed, based on fixed-point equations. Despite the fact that these models generally lead to accurate performance predictions, they do not lead to simple explicit expressions for the performance of WLANs. Motivated by this, we propose a new analytic model that captures the highly complex combined dynamics and protocol overhead of the 802.11 MAC, IP, TCP and application-layer into an explicit expression for a single parameter which will be called the effective service time. Based on the effective service time, we define the effective load to describe the flow-level performance of file transfers over WLANs with an M/G/1 Processor Sharing (PS) model. Using the M/G/1 PS model properties we propose a simple analytic model to obtain WLAN AP buffer content distribution. Despite the fact that PS models are heavily used in modelling flow-level performance in communication networks, an extensive validation of such models has not been published in the field, or context, of WLAN. To this end, our model is validated extensively by comparing the model-based average response times against simulations. The results show that the model leads to highly accurate predictions over a wide range of parameter combinations, including light- and heavy-tailed file-size distributions and light- and heavy-load scenarios. The simplicity and accuracy of the model make the results of high practical relevance and useful for performance engineering purposes. © 2010 Elsevier B.V. All rights reserved.","van der Mei, R.D.",Computer Communications,"SDG 9 - Industry, Innovation, and Infrastructure (+1 more)"
https://doi.org/10.1186/s13063-018-2657-9,Effectiveness and acceptance of a web-based depression intervention during waiting time for outpatient psychotherapy,"<p>Background: Due to limited resources, waiting periods for psychotherapy are often long and burdening for those in need of treatment and the health care system. In order to bridge the gap between initial contact and the beginning of psychotherapy, web-based interventions can be applied. The implementation of a web-based depression intervention during waiting periods has the potential to reduce depressive symptoms and enhance well-being in depressive individuals waiting for psychotherapy. Methods: In a two-arm randomized controlled trial, effectiveness and acceptance of a guided web-based intervention for depressive individuals on a waitlist for psychotherapy are evaluated. Participants are recruited in several German outpatient clinics. All those contacting the outpatient clinics with the wish to enter psychotherapy receive study information and a depression screening. Those adults (age≥18) with depressive symptoms above cut-off (CES-D scale >22) and internet access are randomized to either intervention condition (treatment as usual and immediate access to the web-based intervention) or waiting control condition (treatment as usual and delayed access to the web-based intervention). At three points of assessment (baseline, post-treatment, 3-months-follow-up) depressive symptoms and secondary outcomes, such as quality of life, attitudes towards psychotherapy and web-based interventions and adverse events are assessed. Additionally, participants' acceptance of the web-based intervention is evaluated, using measures of intervention adherence and satisfaction. Discussion: This study investigates a relevant setting for the implementation of web-based interventions, potentially improving the provision of psychological health care. The results of this study contribute to the evaluation of innovative and resource-preserving health care models for outpatient psychological treatment.</p>","Ebert, D.D.",Trials,"SDG 9 - Industry, Innovation, and Infrastructure"
https://doi.org/10.1007/s10926-017-9699-9,Effectiveness and Cost-benefit Evaluation of a Comprehensive Workers' Health Surveillance Program for Sustainable Employability of Meat Processing Workers,"<p>Objective To evaluate the effectiveness of a comprehensive workers' health surveillance (WHS) program on aspects of sustainable employability and cost-benefit. Methods A cluster randomized stepped wedge trial was performed in a Dutch meat processing company from february 2012 until march 2015. In total 305 workers participated in the trial. Outcomes were retrieved during a WHS program, by multiple questionnaires, and from company registries. Primary outcomes were sickness absence, work ability, and productivity. Secondary outcomes were health, vitality, and psychosocial workload. Data were analyzed with linear and logistic multilevel models. Cost-benefit analyses from the employer's perspective were performed as well. Results Primary outcomes sickness absence (OR = 1.40), work ability (B = -0.63) and productivity (OR = 0.71) were better in the control condition. Secondary outcomes did not or minimally differ between conditions. Of the 12 secondary outcomes, the only outcome that scored better in the experimental condition was meaning of work (B = 0.18). Controlling for confounders did not or minimally change the results. However, our stepped wedge design did not enable adjustment for confounding in the last two periods of the trial. The WHS program resulted in higher costs for the employer on the short and middle term. Conclusions Primary outcomes did not improve after program implementation and secondary outcomes remained equal after implementation. The program was not cost-beneficial after 1-3 year follow-up. Main limitation that may have contributed to absence of positive effects may be program failure, because interventions were not deployed as intended.</p>","de Boer, M.R.",Journal of Occupational Rehabilitation,"SDG 9 - Industry, Innovation, and Infrastructure"
https://doi.org/10.1186/1745-6215-15-52,Effectiveness of adolescent suicide prevention e-learning modules that aim to improve knowledge and self-confidence of gatekeepers: Study protocol of a randomized controlled trial,"Background: Providing e-learning modules can be an effective strategy for enhancing gatekeepers' knowledge, self-confidence and skills in adolescent suicide prevention. The aim of this study was to test the effectiveness of an online training program called Mental Health Online which consists of eight short e-learning modules, each capturing an important aspect of the process of recognition, guidance and referral of suicidal adolescents (12-20 years). The primary outcomes of this study are participant's ratings on perceived knowledge, perceived self-confidence, and actual knowledge regarding adolescent suicidality. Methods/Design: A randomized controlled trial will be carried out among 154 gatekeepers. After completing the first assessment (pre-test), participants will be randomly assigned to either the experimental group or the waitlist control group. One week after completing the first assessment the experimental group will have access to the website Mental Health Online containing the eight e-learning modules and additional information on adolescent suicide prevention. Participants in both conditions will be assessed 4 weeks after completing the first assessment (post-test), and 12 weeks after completing the post-test (follow-up). At post-test, participants from the experimental group are asked to complete an evaluation questionnaire on the modules. The waitlist control group will have access to the modules and additional information on the website after completing the follow-up assessment.Discussion: Gatekeepers can benefit from e-learning modules on adolescent suicide prevention. This approach allows them to learn about this sensitive subject at their own pace and from any given location, as long as they have access to the Internet. Given the flexible nature of the program, each participant can compose his/her own training creating an instant customized course with the required steps in adolescent suicide prevention.Trial registration: Netherlands Trial Register NTR3625. © 2014 Ghoncheh et al.; licensee BioMed Central Ltd.","Ghoncheh, R. (+2 more)",Trials,"SDG 9 - Industry, Innovation, and Infrastructure (+1 more)"
https://doi.org/10.1186/s13063-017-2348-y,Effectiveness of a psycho-educational intervention to prevent postpartum parental distress and enhance infant wellbeing,"<p>Background: The first months after birth can be challenging for parents, leading to parental distress and decreased well-being. Parents with high levels of distress are found to respond less adequately and sensitively to their infant, which in turn affects infant well-being and health. The goal of this study is to examine the effectiveness of a psycho-educational intervention to prevent postpartum parental distress and enhance the quality of caregiving and infant well-being. In contrast to other interventions, this intervention will be (1) offered already before birth, (2) offered to all parents-to-be, regardless of their risk of postpartum distress, and (3) include fathers. The proposed study examines the effectiveness of this intervention on (1) parenting distress, (2) quality of caregiving, and (3) the infant's well-being. Methods/design: In this randomized controlled trial, 128 pregnant women and their partners will be recruited through midwifery practices and general media. Women with a complicated pregnancy, current psychopathology, insufficient Dutch language proficiency and without Internet access will be excluded. Parents will be randomized to either the intervention or a waitlist control group. The intervention consists of a booklet and video (offered prenatally), a home visit at 34-36 weeks of pregnancy and a telephone call 4 weeks after birth. Information and practical tools are provided on (1) sensitive responding and making contact with the baby, (2) crying, (3) feeding, and (4) sleeping. Assessments will take place at baseline (26-34 weeks of pregnancy), during the home visit (34-36 weeks of pregnancy), and 2, 6, and 10 weeks after birth. The control group will be offered the intervention after the end of the study. The primary outcome is maternal parenting stress. Secondary outcomes are: paternal parenting stress, parental well-being, quality of caregiving, and infant well-being and health. Discussion: The goal of this study is to test the effects of a psycho-educational prenatal parenting intervention to prevent postpartum parental distress and to enhance well-being in both parents and infants. When the intervention appears effective it can be implemented broadly because of its low costs. It will make support available for a large number of parents and their children.</p>","Missler, M.A. (+1 more)",Trials,"SDG 9 - Industry, Innovation, and Infrastructure (+1 more)"
https://doi.org/10.1016/j.ceramint.2021.12.181,"Effect of high-speed sintering on the microstructure, mechanical properties and ageing resistance of stereolithographic additive-manufactured zirconia","<p>Digital light processing (DLP) demonstrates significant application potential in the fine printing of dental zirconia. However, its complicated print process and post-treatments, such as sintering, are time consuming and sensitive to technical details. Therefore, the feasibility of using a high-speed sintering (HS) method for the fabrication of DLP-based zirconia was investigated in this study. Zirconia samples fabricated using DLP and conventional subtractive manufacturing techniques were all sintered following the different protocols: HS and conventional sintering (CS). Then, the density, Vickers hardness, fracture toughness, surface micro-topography, phase assemblage, and ageing resistance were assessed. The results showed that samples fabricated using the HS technique presented moderate Vickers hardness, fracture toughness, and ageing sensitivity in comparison with the other groups of specimens; moreover, they exhibited moderate initial cubic phase content and average grain size. Conversely, specimens sintered using the CS protocol with a peak temperature of 1580 °C showed high ageing sensitivity and unbalanced mechanical properties. The DLP- and SM-fabricated specimens showed similar trends for the studied properties. Overall, sintering parameters can significantly affect the macro- and micro-properties of DLP specimens, and the proposed HS method showed potential for producing DLP-based zirconia that is acceptable for clinical applications.</p>","Lu, Y.",Ceramics International,"SDG 9 - Industry, Innovation, and Infrastructure"
https://doi.org/10.1016/j.ijadhadh.2022.103138,Effect of the composition and manufacturing process on the resin microtensile bond strength to ceramics,"<p>The present study aimed to investigate the bond strength between resin cement and different glass-ceramics manufactured in different processing systems using two different microtensile bond strength test (μTBs) assemblies (ceramic-ceramic or ceramic-dentin). For this, ceramic blocks were fabricated with adhesive surface area of 5 × 5 mm to test the different possibilities combining the two different glass-ceramic compositions (feldspathic – FEL and lithium disilicate - LD), the three manufacturing-processes (CAD/CAM, heat-pressed or layered for FEL; CAD/CAM or heat-pressed for LD) and the two μTBS assemblies (ceramic-ceramic or ceramic-dentin). Half of the samples of each ceramic evaluated were made by cementing the ceramic blocks in another ceramic block and the other half by cementing the ceramic blocks in ground molars with exposed dentin, using resin cement (Rely X ARC, 3 M ESPE). The samples were stored for 24 h in distilled water at 37 °C and then sectioned into microbars (±1 mm<sup>2</sup>, n = 30). These specimens were submitted to the μTBS and the data were analyzed by specific statistical tests (α = 0.05). The fractured surfaces were examined under a stereomicroscope and the failure mode was classified. In addition, finite element analysis (FEA) was performed to observe the maximum tensile stress in the resin cement when a μTBS load was applied (10 N) and during the resin cement polymerization shrinkage. The CAD/CAM glass-ceramics have better bond strength than the other evaluated manufacturing processes, the LD groups had higher μTBS values than the FEL groups in ceramic-ceramic assembly; dentin as a substrate (ceramic-dentin assembly) had a negative influence on the results for all evaluated materials. Regarding the FEA results, the maximum tensile stress in ceramic-ceramic groups was 16.1–16.5 MPa (when 10 N load was simulated), and 50.8–51.2 MPa (during the resin cement polymerization shrinkage). For the ceramic-dentin groups, the maximum tensile stress was 16.9 and 17.1 MPa on the ceramic side and 17.6 and 17.8 MPa on the dentin side (10 N load simulation); 49.8 and 49.4 MPa on the ceramic side and 49.7 and 49.4 MPa on the dentin side (resin cement polymerization shrinkage). Different glass-ceramic compositions and manufacturing processes induced distinct bond strength values (LD had better results). Moreover, the μTBS assembly interferes with the results obtained, having the ceramic-ceramic set-up inducing higher bond results than the ceramic-dentin arrangement.</p>","de Jager, N. (+2 more)",International Journal of Adhesion and Adhesives,"SDG 9 - Industry, Innovation, and Infrastructure"
https://doi.org/10.1016/j.jmbbm.2022.105597,Effect of the region of the CAD/CAM block on the flexural strength and structural reliability of restorative materials,"<p>The aim of the study was to evaluate whether the region (internal or external) of the CAD/CAM block influences the mechanical performance of restorative materials. Blocks of different CAD/CAM materials (Composites: KAV – Katana Avencia; LULT – LULT Ultimate; Ceramics: ENAM – Vita Enamic; NICE - N!CE; EMP – IPS Empress CAD; VMII – Vita Mark II; EMAX – IPS e.max CAD) were selected, and direct resin composite blocks (APX - Clearfil AP-X; FSUP - Filtek Supreme) were built using the incremental technique on a mold from one of the CAD/CAM blocks. All blocks were sectioned into bar-shaped specimens (1 × 1 × 14 mm), which were separated into two groups according to the region of the block (inside or outside). 3-point bending tests were performed following ISO 6872:2015 and flexural strength data were analyzed using one-way ANOVA and Bonferroni post-hoc tests (p < 0.05). Weibull module and characteristic strength were also calculated. In general, the mean flexural strength values were not statistically different (p > 0.05) between the inside and outside regions of each material, except for LULT (inside > outside) and EMAX (outside > inside). Comparing the materials, a similar strength (only discrete variations) was observed for inside, outside or merged (inside and outside data assembled together) regions: EMAX > KAV = LULT > NICE = APX > EMP = ENAM = VMII ≥ FSUP (merged condition). Characteristic strength at 63.2% failure probability and at 5% failure probability generally corroborates such observations. There were no statistical differences for Weibull module data (inside, outside, or merged), except for KAV and NICE (outside > inside). Thus, the region from where the restoration is milled within the CAD/CAM block generally does not influence the mechanical performance hereof (flexural strength, failure probability, risk of premature failures, and mechanical reliability) of the material, except for LULT and EMAX.</p>","de Kok, P. (+1 more)",Journal of the Mechanical Behavior of Biomedical Materials,"SDG 9 - Industry, Innovation, and Infrastructure"
https://doi.org/10.1111/add.15633,Effects of a minimal-guided on-line intervention for alcohol misuse in Estonia,"<p>Background and Aims: Estonia has one of the highest alcohol-attributable mortality rates within the European Union. The aim of this study was to estimate the efficacy of an on-line self-help intervention to reduce problem drinking at the population level. Design: On-line open randomized controlled trial with an 8-week intervention and an active control group (intervention n = 303, control n = 286). Assessments took place at baseline and at 6 months follow-up. Setting: On- and offline channels were used for population-based recruitment within a nation-wide prevention campaign in Estonia. Participants: Inclusion criteria were age ≥ 18 years, heavy drinking [Alcohol Use Disorders Identification (AUDIT) test score ≥ 8], literacy in Estonian and at least weekly access to the internet; n = 589 participants were randomized (50% male, 1% other; mean age 37.86 years; 45% with higher level of education). Intervention and comparator: The intervention consisted of 10 modules based on principles of cognitive–behavioral therapy and motivational interviewing. The active control group received access to a website with a self-test including personalized normative feedback and information for standard alcohol treatment. Measurements: The primary outcome was AUDIT scores at 6 months follow-up adjusted for baseline scores. Findings: Intention-to-treat analyses were applied. Missing data were addressed by using baseline observation carried forward (BOCF) and multiple imputation by chained equations (MI); 175 completed follow-up in the intervention group and 209 in the control group. AUDIT score at follow-up was significantly smaller in the intervention [BOCF mean = 13.91, standard deviation (SD) = 7.61, MI mean = 11.03, SD = 6.55] than control group (BOCF mean = 15.30, SD = 7.31; MI mean = 14.30, SD = 7.21), with a group difference of −1.38 [95% confidence interval (CI) = –2.58, –0.18], P = 0.02 for BOCF and −3.26 (95% CI = –2.01, –4.51), P < 0.001 for MI. Conclusions: A randomized controlled trial has found that an on-line self-help intervention with minimal guidance was effective at reducing problem drinking in Estonia.</p>","Riper, M.M. (+1 more)",Addiction,"SDG 9 - Industry, Innovation, and Infrastructure"
https://doi.org/10.1016/j.jss.2017.11.047,Empirical Validation of Cyber-Foraging Architectural Tactics for Surrogate Provisioning,"Background<br/>Cyber-foraging architectural tactics are used to build mobile applications that leverage proximate, intermediate cloud surrogates for computation offload and data staging. Compared to direct access to cloud resources, the use of intermediate surrogates improves system qualities such as response time, energy efficiency, and resilience. However, the state-of-the-art mostly focuses on introducing new architectural tactics rather than quantitatively comparing the existing tactics, which can help software architects and software engineers with new insights on each tactic.<br/><br/>Aim<br/>Our work aims at empirically evaluating the architectural tactics for surrogate provisioning, specifically with respect to resilience and energy efficiency.<br/><br/>Method<br/>We follow a systematic experimentation framework to collect relevant data on Static Surrogate Provisioning and Dynamic Surrogate Provisioning tactics. Our experimentation approach can be reused for validation of other cyber-foraging tactics. We perform statistical analysis to support our hypotheses, as compared to baseline measurements with no cyber-foraging tactics deployed.<br/><br/>Results<br/>Our findings show that Static Surrogate Provisioning tactics provide higher resilience than Dynamic Surrogate Provisioning tactics for runtime environmental changes. Both surrogate provisioning tactics perform with no significant difference with respect to their energy efficiency. We observe that the overhead of the runtime optimization algorithm is similar for both tactic types.<br/><br/>Conclusions<br/>The presented quantitative evidence on the impact of different tactics empowers software architects and software engineers with the ability to make more conscious design decisions. This contribution, as a starting point, emphasizes the use of quantifiable metrics to make better-informed trade-offs between desired quality attributes. Our next step is to focus on the impact of runtime programmable infrastructure on the quality of cyber-foraging systems.","Lago, P. (+3 more)",Journal of Systems and Software,"SDG 9 - Industry, Innovation, and Infrastructure (+1 more)"
https://doi.org/10.1016/j.jbusres.2011.03.016,Encouraging innovation in business relationships - A research note,"How do buyer-supplier relationships affect innovation? This study suggests that the relational exchange norms of flexibility, information sharing, and solidarity (the bright side) encourage buyer innovation. However, negative (dark side) aspects of relationships with suppliers-loss of supplier objectivity, increasing buyer expectations, and supplier opportunism-may accompany the bright side and subsequently reduce buyer innovation. The study reports on the simultaneous effects of the bright and dark sides on innovation and the resultant effect on supplier performance as evaluated from the buyer's perspective. Using data from the travel and computer industry, regression models reveal that the bright side encourages buyer innovation. Buyers reciprocate this support by enhancing their supplier evaluations. The findings indicate that rising buyer expectations-supposedly a dark side of relational exchange-encourage innovation, while loss of supplier objectivity reduces relationship performance. These findings imply that the bright and dark sides are not mutually exclusive dimensions of good versus bad behavior. © 2011 Elsevier Inc.","Frambach, R.T. (+1 more)",Journal of Business Research,"SDG 9 - Industry, Innovation, and Infrastructure"
https://doi.org/10.1016/S0301-4215(96)00130-9,Energy conservation and organization of electricity supply in the Netherlands,"In light of the present debate about the future organization of electricity supply, the relationship between energy conservation and organization of electricity supply in the Netherlands is examined. Three case studies of energy conservation are analysed: the development of industrial cogeneration of heat and power, the development of wind energy and the use of a so-called 'MAP levy' as an instrument used by utilities to stimulate demand reduction of end users. The implications of these case studies for the future organization of Dutch electricity supply are discussed. Some measures aimed at reconciling energy conservation and liberalization are suggested. © 1997 Elsevier Science Ltd. All rights reserved.","Slingerland, S.",Energy Policy,"SDG 9 - Industry, Innovation, and Infrastructure"
https://doi.org/10.1145/3417113.3422997,Energy Efficiency in Robotics Software,"<p>Nowadays, robots are widely used in many areas of our lifes, such as autonomous storage, self-driving vehicles, drones, industrial automation, etc. Energy is a critical factor for robotic systems, especially for mobile robots where energy is a finite resource (e.g., surveillance autonomous rovers). Since software is becoming the central focus of modern robotic systems, it is important to understand how it influences the energy consumption of the entire system. However, there is no systematic study of the state of the art in energy efficiency of robotics software that could guide research or practitioners in finding solutions and tools to develop robotic systems with energy efficiency in mind the goal of this paper is to present a review of existing research on energy efficiency in robotics software. Specifically, we investigate on (i) the used metrics for energy efficiency, (ii) the application domains within the robotics area covered by research on energy efficiency, (iii) the identified major energy consumers within a robotic system, (iv) how existing approaches are evaluated, (v) the used energy models, (vi) the techniques supporting the development of energy-efficient robotics software, and (vii) which quality attributes tend to be traded off when dealing with energy efficiency in robotics. We also provide a replication package to assess, extend, and/or replicate the study the results of this work can guide researchers and practitioners in robotics and software engineering in better reasoning and contributing to energy-efficient robotics software. </p>","Malavolta, I.",,"SDG 9 - Industry, Innovation, and Infrastructure"
https://doi.org/10.1145/3377813.3381349,Engineering for a science-centric experimentation platform,"<p>Netflix is an internet entertainment service that routinely employs experimentation to guide strategy around product innovations. As Netflix grew, it had the opportunity to explore increasingly specialized improvements to its service, which generated demand for deeper analyses supported by richer metrics and powered by more diverse statistical methodologies. To facilitate this, and more fully harness the skill sets of both engineering and data science, Netflix engineers created a science-centric experimentation platform that leverages the expertise of scientists from a wide range of backgrounds working on data science tasks by allowing them to make direct code contributions in the languages used by them (Python and R). Moreover, the same code that runs in production is able to be run locally, making it straightforward to explore and graduate both metrics and causal inference methodologies directly into production services. In this paper, we provide two main contributions. Firstly, we report on the architecture of this platform, with a special emphasis on its novel aspects: how it supports science-centric end-to-end workflows without compromising engineering requirements. Secondly, we describe its approach to causal inference, which leverages the potential outcomes conceptual framework to provide a unified abstarction layer for arbitrary statistical models and methodologies.</p>","Gerostathopoulos, I.G.",,"SDG 9 - Industry, Innovation, and Infrastructure"
https://doi.org/10.1016/j.lrp.2019.02.005,Entrepreneurial copycats,"<p>This study draws on resource orchestration theory to develop and test a framework that explains when the imitation of business models from other industries increases new venture growth. We propose that extra-industry business model imitation enhances growth when extra-industry business models are bundled together with novel technologies, and when founders possess the necessary industry experience to orchestrate these resource combinations effectively. Using a unique multi-source, time-lagged dataset of 122 Swiss technology ventures from four industries, we find support for our theoretical model and discuss its implications for research at the intersection of business models, competitive imitation, and resource orchestration.</p>","Stam, W.",Long Range Planning,"SDG 9 - Industry, Innovation, and Infrastructure (+1 more)"
https://doi.org/10.1016/j.joep.2007.04.003,Entrepreneurial locus of control and competitive strategies - The moderating effect of environmental dynamism,"<p>Past research suggests that entrepreneurs with an internal locus-of-control personality trait tend to undertake innovative strategies, whereas their external counterparts tend to prefer low-cost strategies. This paper examines the impact of environmental dynamism on this entrepreneurial locus of control-competitive strategy relationship, arguing that the strategy preferences driven by the locus-of-control personality trait produce unconventional strategy-environment (mis)matches. Drawing upon a social learning theory framework, we examine the competitive strategies of 84 entrepreneurs. The results show that internal entrepreneurs prefer product innovation strategies in stable environments, whereas external entrepreneurs opt for low-cost strategies in dynamic environments. Extant strategy contingency thinking suggests that these unconventional strategy-environment combinations may well lead to business failure.</p>","van Witteloostuijn, A.",Journal of Economic Psychology,"SDG 9 - Industry, Innovation, and Infrastructure"
https://doi.org/10.1016/j.eist.2011.04.010,Environmental innovation and societal transitions: Introduction and overview,,"van den Bergh, J.C.J.M.",Environmental Innovation and Societal Transitions,"SDG 9 - Industry, Innovation, and Infrastructure"
https://doi.org/10.2202/1538-0645.1286,"Environmental Policy, Population Dynamics and Agglomeration",,"Withagen, C.A.A.M. (+1 more)",Contributions to Economic Analysis & Policy,"SDG 9 - Industry, Innovation, and Infrastructure"
https://doi.org/10.1007/s11625-022-01208-w,Environmental principles for modern sustainable economic frameworks including the circular economy,"<p>A set of newly defined environmental principles can advance the sustainability performance of economic frameworks such as industrial ecology, cradle-to-cradle, and the circular economy. Currently, the environmental sustainability of these frameworks is mainly derived from the application of efficiency principles such as waste reduction, or closing and narrowing production, and consumption loops. However, these same principles can bring, in some cases, unintended outcomes that are detrimental to the environment. Efficiency principles also fall short of environmental sustainability aspirations, doing little to contribute to addressing the causes of current global environmental crises. This paper examines 7 widely applicable principles aimed at explicit environmental sustainability: doing no harm to nature, minimising environmental damage, restoring/remediating environmental damage, net-positive impact, no net loss, maintaining the health of ecosystems, and continual environmental improvement. These principles could markedly improve efforts to actively pursue sustainability and foster new economic forms that address our current unsustainable trajectories.</p>","Morseletto, P.",Sustainability Science,"SDG 9 - Industry, Innovation, and Infrastructure (+2 more)"
https://doi.org/10.1109/MS.2006.71,E-Service Design Using i* and e3value Modeling,"e-Services are intangible products, provisioned via the Internet. Examples include Internet access and Internet radio. Because most e-services involve multiple enterprises, creating a shared understanding of the service under development is an issue. Such an e-service is more difficult to understand than a proposition just consisting of goods because services lack easily observable physical properties. Consequently, software engineers must first understand the e-service itself before they can build effective systems and support for these services. The authors present the complementary use of two requirements engineering techniques. Using i* modeling, they explore strategic goals that enterprises have, and using e","Gordijn, J. (+1 more)",IEEE Software,"SDG 9 - Industry, Innovation, and Infrastructure (+1 more)"
https://doi.org/10.1109/ESEM.2017.39,Estimating Energy Impact of Software Releases and Deployment Strategies,"Background. Often motivated by optimization objectives, software products are characterized by different subsequent releases and deployed through different strategies. The impact of these two aspects of software on energy consumption has still to be completely understood and can be improved by carrying out ad-hoc analyses for specific software products. <br/><br/>Aims. In this research we report on an industrial collaboration aiming at assessing the different impact that releases and deployment strategies of a software product can have on the energy consumption of its underlying hardware infrastructure. <br/><br/>Method. We designed and performed an empirical experiment in a controlled environment. Deployment strategies, releases and use case scenarios of an industrial third-party software product were adopted as experimental factors. The use case scenarios were used as a blocking factor and adopted to dynamically load-test the software product. Power consumption and execution time were selected as response variables to measure the energy consumption. <br/><br/>Results. We observed that both deployment strategies and software releases significantly influence the energy consumption of the hardware infrastructure. A strong interaction between the two factors was identified. The impact of such interaction highly varied depending on which use case scenario was considered, making the identification of the most frequently adopted use case scenario critical for energy optimisation. The collaboration between industry and academia has been productive for both parties, even if some practitioners manifested low interest/awareness on software energy efficiency. <br/><br/>Conclusions. For the software product considered there is no absolute preferable release or deployment strategy with respect to energy efficiency, as the interaction of these factors has to be considered. The number of machines involved in a software deployment strategy does not simply constitute an additive effect of the energy consumption of the underlying hardware infrastructure","Verdecchia, R. (+3 more)",,"SDG 9 - Industry, Innovation, and Infrastructure (+1 more)"
https://doi.org/10.1007/978-3-642-38977-1_24,Estimating the Economic Value of Reusable Green ICT Practices,,"Gu, Q. (+1 more)",Lecture Notes in Computer Science,"SDG 9 - Industry, Innovation, and Infrastructure"
https://doi.org/10.1109/MELCON.2016.7495310,EU COST Action MP1307 - Unravelling the degradation mechanisms of emerging solar cell technologies,"<p>Organic and hybrid perovskite based solar cells have a huge potential to significantly contribute to a clean electricity supply of the future. However, so far they exhibit complex and hierarchical degradation paths and their understanding can only be acquired through the application of complementary chemical and physical characterization techniques. This limited device stability is the main hurdle for a successful and large scale market introduction of these emerging solar cell technologies. Our StableNextSol Action has created a highly interdisciplinary network of laboratories, as well as corresponding industry, overall more than 120 partners, with complementary analytical techniques for the study and understanding of the degradation mechanisms occurring in state-of-the-art devices. Our Action integrates and generates fundamental knowledge and expertise to foster disruptive innovations targeted to mitigate device failure and to propose and develop new concepts for more stable solar cells. Value is added to the entire value chain of photovoltaic research at European and international level, as well as variety decision makers in the public sector by supporting specialisation policy and standards still lacking in this research field. The outcome of the Action will contribute to resolve the global challenges facing the industry and this COST Action initiative has brought together all these expertises and resources to promote the cooperation between different sectors, academia, public authorities and industry.</p>","von Hauff, E.L.",,"SDG 9 - Industry, Innovation, and Infrastructure (+1 more)"
https://doi.org/10.1080/01441640600843237,Evaluating transport infrastructure investments: the Dutch experience with a standardised approach,,"Koopmans, C.C.",Transport Reviews,"SDG 9 - Industry, Innovation, and Infrastructure"
https://doi.org/10.1332/174426421X16390538025881,Evidence-based practice and management-by-knowledge of disability care,"Background: Although increasingly accepted in some corners of social work, critics have claimed that evidence-based practice (EBP) methodologies run contrary to local care practices and result in an EBP straitjacket and epistemic injustice. These are serious concerns, especially in relation to already marginalised clients.<br/><br/>Aims and objectives: Against the backdrop of criticism against EBP, this study explores the ramifications of the Swedish state-governed knowledge infrastructure, ‘management-by-knowledge’, for social care practices at two care units for persons with intellectual disabilities.<br/><br/>Methods: Data generated from ethnographic observations and interviews were analysed by applying a conceptual framework of epistemic injustice; also analysed were national, regional and local knowledge products within management-by-knowledge related to two daily activity (DA) units at a social care provider in Sweden.<br/><br/>Findings: In this particular case of disability care, no obvious risks of epistemic injustice were discovered in key knowledge practices of management-by-knowledge. Central methodologies of national agencies did include perspectives from social workers and clients, as did regional infrastructures. Locally, there were structures in place that focused on creating a dynamic interplay between knowledge coming from various forms of evidence, including social workers’ and clients’ own knowledge and experience.<br/><br/>Discussion and conclusions: Far from being a straitjacket, in the case studied management-by-knowledge may be understood as offering fluid support. Efforts which aim at improving care for people with disabilities might benefit from organisational support structures that enable dynamic interactions between external knowledge and local practices.","Zuiderent-Jerak, T.",Evidence and Policy,"SDG 9 - Industry, Innovation, and Infrastructure"
https://doi.org/10.1007/s00204-016-1845-1,Evidence-based selection of training compounds for use in the mechanism-based integrated prediction of drug-induced liver injury in man.,,"Dragovic, S. (+1 more)",Archives of Toxicology,"SDG 9 - Industry, Innovation, and Infrastructure"
